SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
186795619.953125,,6.46,,Palos Heights,20275,60463,,IL,79710.37910646835
367173369.125,,12.71,,Palos Park,20276,60464,,IL,105683.44180022647
162675911.1796875,,5.63,,Palos Hills,20277,60465,,IL,60683.34759613846
184208964.3515625,,6.38,,Park Forest,20278,60466,,IL,94569.74509617948
427036067.671875,,14.780000000000001,,Orland Park,20279,60467,,IL,150340.8229639109
1840571882.890625,,63.83,,Peotone,20280,60468,,IL,284209.10062230483
35117399.6328125,,1.22,,Posen,20281,60469,,IL,34779.208206420604
1201903952.7734375,,41.74,,Ransom,20282,60470,,IL,193558.13298365724
127429900.2578125,,4.42,,Richton Park,20283,60471,,IL,78610.18792073453
47619205.9296875,,1.65,,Robbins,20284,60472,,IL,37584.5653761494
231277383.109375,,8.01,,South Holland,20285,60473,,IL,129221.82537669972
9251097.09375,,0.32,,South Wilmington,20286,60474,,IL,13422.505849035428
